Group;Key;Text;codeEL;codeNT;codePython;codePRT
TDOM;TDOM5;TDOM = 5;TDOM = 5;TDOM()[0] == 5;TDOM(D)[-1] == 5;myTDOM = 5
TDOM;TDOM6;TDOM = 6;TDOM = 6;TDOM()[0] == 6;TDOM(D)[-1] == 6;myTDOM = 6
TDOM;TDOM7;TDOM = 7;TDOM = 7;TDOM()[0] == 7;TDOM(D)[-1] == 7;myTDOM = 7
TDOM;TDOM8;TDOM = 8;TDOM = 8;TDOM()[0] == 8;TDOM(D)[-1] == 8;myTDOM = 8
TDOM;TDOM9;TDOM = 9;TDOM = 9;TDOM()[0] == 9;TDOM(D)[-1] == 9;myTDOM = 9
TDOM;TDOM10;TDOM = 10;TDOM = 10;TDOM()[0] == 10;TDOM(D)[-1] == 10;myTDOM = 10
TDOM;TDOM11;TDOM = 11;TDOM = 11;TDOM()[0] == 11;TDOM(D)[-1] == 11;myTDOM = 11
TDOM;TDOM12;TDOM = 12;TDOM = 12;TDOM()[0] == 12;TDOM(D)[-1] == 12;myTDOM = 12
TDOM;TDOM13;TDOM = 13;TDOM = 13;TDOM()[0] == 13;TDOM(D)[-1] == 13;myTDOM = 13
TDOM;TDOM14;TDOM = 14;TDOM = 14;TDOM()[0] == 14;TDOM(D)[-1] == 14;myTDOM = 14
TDOM;TDOM15;TDOM = 15;TDOM = 15;TDOM()[0] == 15;TDOM(D)[-1] == 15;myTDOM = 15
TDOM;TDOM16;TDOM = 16;TDOM = 16;TDOM()[0] == 16;TDOM(D)[-1] == 16;myTDOM = 16
TDOM;TDOM17;TDOM = 17;TDOM = 17;TDOM()[0] == 17;TDOM(D)[-1] == 17;myTDOM = 17
TDOM;TDOM18;TDOM = 18;TDOM = 18;TDOM()[0] == 18;TDOM(D)[-1] == 18;myTDOM = 18
TDOM;TDOM19;TDOM = 19;TDOM = 19;TDOM()[0] == 19;TDOM(D)[-1] == 19;myTDOM = 19
TDOM;TDOM20;TDOM = 20;TDOM = 20;TDOM()[0] == 20;TDOM(D)[-1] == 20;myTDOM = 20
TDOM;TDOM21;TDOM = 21;TDOM = 21;TDOM()[0] == 21;TDOM(D)[-1] == 21;myTDOM = 21
TDOM;TDOM22;TDOM = 22;TDOM = 22;TDOM()[0] == 22;TDOM(D)[-1] == 22;myTDOM = 22
TDOM;TDOM23;TDOM = 23;TDOM = 23;TDOM()[0] == 23;TDOM(D)[-1] == 23;myTDOM = 23
Week number;Week1;WeekNumber = 1;weekNumber = 1;WeekNumber(0)[0] == 1;week_number(data[stocks[0]])[-1] == 1;myweekNumber = 1
Week number;Week2;WeekNumber = 2;weekNumber = 2;WeekNumber(0)[0] == 2;week_number(data[stocks[0]])[-1] == 2;myweekNumber = 2
Week number;Week3;WeekNumber = 3;weekNumber = 3;WeekNumber(0)[0] == 3;week_number(data[stocks[0]])[-1] == 3;myweekNumber = 3
Week number;Week4;WeekNumber = 4;weekNumber = 4;WeekNumber(0)[0] == 4;week_number(data[stocks[0]])[-1] == 4;myweekNumber = 4
Week number;Week5;WeekNumber = 5;weekNumber = 5;WeekNumber(0)[0] == 5;week_number(data[stocks[0]])[-1] == 5;myweekNumber = 5
Week number;NotWeek1;WeekNumber != 1;weekNumber <> 1;WeekNumber(0)[0] != 1;week_number(data[stocks[0]])[-1] != 1;myweekNumber <> 1
Week number;NotWeek2;WeekNumber != 2;weekNumber <> 2;WeekNumber(0)[0] != 2;week_number(data[stocks[0]])[-1] != 2;myweekNumber <> 2
Week number;NotWeek3;WeekNumber != 3;weekNumber <> 3;WeekNumber(0)[0] != 3;week_number(data[stocks[0]])[-1] != 3;myweekNumber <> 3
Week number;NotWeek4;WeekNumber != 4;weekNumber <> 4;WeekNumber(0)[0] != 4;week_number(data[stocks[0]])[-1] != 4;myweekNumber <> 4
Week number;NotWeek5;WeekNumber != 5;weekNumber <> 5;WeekNumber(0)[0] != 5;week_number(data[stocks[0]])[-1] != 5;myweekNumber <> 5
