Group;Key;Text;codeEL;codeNT;codePython;codePRT
High;H1>C7;High[1] > Close[7];high[1] > close[7];High[1] > Close[7];H[-2] > C[-8];high[1] > close[7]
High;H1>C8;High[1] > Close[8];high[1] > close[8];High[1] > Close[8];H[-2] > C[-9];high[1] > close[8]
High;H1>C9;High[1] > Close[9];high[1] > close[9];High[1] > Close[9];H[-2] > C[-10];high[1] > close[9]
High;H2>O3;High[2] > Open[3];high[2] > open[3];High[2] > Open[3];H[-3] > O[-4];high[2] > open[3]
High;H2>O4;High[2] > Open[4];high[2] > open[4];High[2] > Open[4];H[-3] > O[-5];high[2] > open[4]
High;H2>O5;High[2] > Open[5];high[2] > open[5];High[2] > Open[5];H[-3] > O[-6];high[2] > open[5]
High;H2>O6;High[2] > Open[6];high[2] > open[6];High[2] > Open[6];H[-3] > O[-7];high[2] > open[6]
High;H2>O7;High[2] > Open[7];high[2] > open[7];High[2] > Open[7];H[-3] > O[-8];high[2] > open[7]
High;H2>O8;High[2] > Open[8];high[2] > open[8];High[2] > Open[8];H[-3] > O[-9];high[2] > open[8]
High;H2>O9;High[2] > Open[9];high[2] > open[9];High[2] > Open[9];H[-3] > O[-10];high[2] > open[9]
High;H2>H3;High[2] > High[3];high[2] > high[3];High[2] > High[3];H[-3] > H[-4];high[2] > high[3]
High;H2>H4;High[2] > High[4];high[2] > high[4];High[2] > High[4];H[-3] > H[-5];high[2] > high[4]
High;H2>H5;High[2] > High[5];high[2] > high[5];High[2] > High[5];H[-3] > H[-6];high[2] > high[5]
High;H2>H6;High[2] > High[6];high[2] > high[6];High[2] > High[6];H[-3] > H[-7];high[2] > high[6]
High;H2>H7;High[2] > High[7];high[2] > high[7];High[2] > High[7];H[-3] > H[-8];high[2] > high[7]
High;H2>H8;High[2] > High[8];high[2] > high[8];High[2] > High[8];H[-3] > H[-9];high[2] > high[8]
High;H2>H9;High[2] > High[9];high[2] > high[9];High[2] > High[9];H[-3] > H[-10];high[2] > high[9]
High;H2>L3;High[2] > Low[3];high[2] > low[3];High[2] > Low[3];H[-3] > L[-4];high[2] > low[3]
High;H2>L4;High[2] > Low[4];high[2] > low[4];High[2] > Low[4];H[-3] > L[-5];high[2] > low[4]
High;H2>L5;High[2] > Low[5];high[2] > low[5];High[2] > Low[5];H[-3] > L[-6];high[2] > low[5]
High;H2>L6;High[2] > Low[6];high[2] > low[6];High[2] > Low[6];H[-3] > L[-7];high[2] > low[6]
High;H2>L7;High[2] > Low[7];high[2] > low[7];High[2] > Low[7];H[-3] > L[-8];high[2] > low[7]
High;H2>L8;High[2] > Low[8];high[2] > low[8];High[2] > Low[8];H[-3] > L[-9];high[2] > low[8]
High;H2>L9;High[2] > Low[9];high[2] > low[9];High[2] > Low[9];H[-3] > L[-10];high[2] > low[9]
High;H2>C3;High[2] > Close[3];high[2] > close[3];High[2] > Close[3];H[-3] > C[-4];high[2] > close[3]
High;H2>C4;High[2] > Close[4];high[2] > close[4];High[2] > Close[4];H[-3] > C[-5];high[2] > close[4]
High;H2>C5;High[2] > Close[5];high[2] > close[5];High[2] > Close[5];H[-3] > C[-6];high[2] > close[5]
High;H2>C6;High[2] > Close[6];high[2] > close[6];High[2] > Close[6];H[-3] > C[-7];high[2] > close[6]
High;H2>C7;High[2] > Close[7];high[2] > close[7];High[2] > Close[7];H[-3] > C[-8];high[2] > close[7]
High;H2>C8;High[2] > Close[8];high[2] > close[8];High[2] > Close[8];H[-3] > C[-9];high[2] > close[8]
High;H2>C9;High[2] > Close[9];high[2] > close[9];High[2] > Close[9];H[-3] > C[-10];high[2] > close[9]
High;H3>O4;High[3] > Open[4];high[3] > open[4];High[3] > Open[4];H[-4] > O[-5];high[3] > open[4]
High;H3>O5;High[3] > Open[5];high[3] > open[5];High[3] > Open[5];H[-4] > O[-6];high[3] > open[5]
High;H3>O6;High[3] > Open[6];high[3] > open[6];High[3] > Open[6];H[-4] > O[-7];high[3] > open[6]
High;H3>O7;High[3] > Open[7];high[3] > open[7];High[3] > Open[7];H[-4] > O[-8];high[3] > open[7]
High;H3>O8;High[3] > Open[8];high[3] > open[8];High[3] > Open[8];H[-4] > O[-9];high[3] > open[8]
High;H3>O9;High[3] > Open[9];high[3] > open[9];High[3] > Open[9];H[-4] > O[-10];high[3] > open[9]
High;H3>H4;High[3] > High[4];high[3] > high[4];High[3] > High[4];H[-4] > H[-5];high[3] > high[4]
High;H3>H5;High[3] > High[5];high[3] > high[5];High[3] > High[5];H[-4] > H[-6];high[3] > high[5]
High;H3>H6;High[3] > High[6];high[3] > high[6];High[3] > High[6];H[-4] > H[-7];high[3] > high[6]
High;H3>H7;High[3] > High[7];high[3] > high[7];High[3] > High[7];H[-4] > H[-8];high[3] > high[7]
High;H3>H8;High[3] > High[8];high[3] > high[8];High[3] > High[8];H[-4] > H[-9];high[3] > high[8]
High;H3>H9;High[3] > High[9];high[3] > high[9];High[3] > High[9];H[-4] > H[-10];high[3] > high[9]
High;H3>L4;High[3] > Low[4];high[3] > low[4];High[3] > Low[4];H[-4] > L[-5];high[3] > low[4]
High;H3>L5;High[3] > Low[5];high[3] > low[5];High[3] > Low[5];H[-4] > L[-6];high[3] > low[5]
High;H3>L6;High[3] > Low[6];high[3] > low[6];High[3] > Low[6];H[-4] > L[-7];high[3] > low[6]
High;H3>L7;High[3] > Low[7];high[3] > low[7];High[3] > Low[7];H[-4] > L[-8];high[3] > low[7]
High;H3>L8;High[3] > Low[8];high[3] > low[8];High[3] > Low[8];H[-4] > L[-9];high[3] > low[8]
High;H3>L9;High[3] > Low[9];high[3] > low[9];High[3] > Low[9];H[-4] > L[-10];high[3] > low[9]
High;H3>C4;High[3] > Close[4];high[3] > close[4];High[3] > Close[4];H[-4] > C[-5];high[3] > close[4]
High;H3>C5;High[3] > Close[5];high[3] > close[5];High[3] > Close[5];H[-4] > C[-6];high[3] > close[5]
High;H3>C6;High[3] > Close[6];high[3] > close[6];High[3] > Close[6];H[-4] > C[-7];high[3] > close[6]
High;H3>C7;High[3] > Close[7];high[3] > close[7];High[3] > Close[7];H[-4] > C[-8];high[3] > close[7]
High;H3>C8;High[3] > Close[8];high[3] > close[8];High[3] > Close[8];H[-4] > C[-9];high[3] > close[8]
High;H3>C9;High[3] > Close[9];high[3] > close[9];High[3] > Close[9];H[-4] > C[-10];high[3] > close[9]
High;H4>O5;High[4] > Open[5];high[4] > open[5];High[4] > Open[5];H[-5] > O[-6];high[4] > open[5]
High;H4>O6;High[4] > Open[6];high[4] > open[6];High[4] > Open[6];H[-5] > O[-7];high[4] > open[6]
High;H4>O7;High[4] > Open[7];high[4] > open[7];High[4] > Open[7];H[-5] > O[-8];high[4] > open[7]
High;H4>O8;High[4] > Open[8];high[4] > open[8];High[4] > Open[8];H[-5] > O[-9];high[4] > open[8]
High;H4>O9;High[4] > Open[9];high[4] > open[9];High[4] > Open[9];H[-5] > O[-10];high[4] > open[9]
High;H4>H5;High[4] > High[5];high[4] > high[5];High[4] > High[5];H[-5] > H[-6];high[4] > high[5]
High;H4>H6;High[4] > High[6];high[4] > high[6];High[4] > High[6];H[-5] > H[-7];high[4] > high[6]
High;H4>H7;High[4] > High[7];high[4] > high[7];High[4] > High[7];H[-5] > H[-8];high[4] > high[7]
High;H4>H8;High[4] > High[8];high[4] > high[8];High[4] > High[8];H[-5] > H[-9];high[4] > high[8]
High;H4>H9;High[4] > High[9];high[4] > high[9];High[4] > High[9];H[-5] > H[-10];high[4] > high[9]
High;H4>L5;High[4] > Low[5];high[4] > low[5];High[4] > Low[5];H[-5] > L[-6];high[4] > low[5]
High;H4>L6;High[4] > Low[6];high[4] > low[6];High[4] > Low[6];H[-5] > L[-7];high[4] > low[6]
High;H4>L7;High[4] > Low[7];high[4] > low[7];High[4] > Low[7];H[-5] > L[-8];high[4] > low[7]
High;H4>L8;High[4] > Low[8];high[4] > low[8];High[4] > Low[8];H[-5] > L[-9];high[4] > low[8]
High;H4>L9;High[4] > Low[9];high[4] > low[9];High[4] > Low[9];H[-5] > L[-10];high[4] > low[9]
High;H4>C5;High[4] > Close[5];high[4] > close[5];High[4] > Close[5];H[-5] > C[-6];high[4] > close[5]
High;H4>C6;High[4] > Close[6];high[4] > close[6];High[4] > Close[6];H[-5] > C[-7];high[4] > close[6]
High;H4>C7;High[4] > Close[7];high[4] > close[7];High[4] > Close[7];H[-5] > C[-8];high[4] > close[7]
High;H4>C8;High[4] > Close[8];high[4] > close[8];High[4] > Close[8];H[-5] > C[-9];high[4] > close[8]
High;H4>C9;High[4] > Close[9];high[4] > close[9];High[4] > Close[9];H[-5] > C[-10];high[4] > close[9]
High;H5>O6;High[5] > Open[6];high[5] > open[6];High[5] > Open[6];H[-6] > O[-7];high[5] > open[6]
High;H5>O7;High[5] > Open[7];high[5] > open[7];High[5] > Open[7];H[-6] > O[-8];high[5] > open[7]
High;H5>O8;High[5] > Open[8];high[5] > open[8];High[5] > Open[8];H[-6] > O[-9];high[5] > open[8]
High;H5>O9;High[5] > Open[9];high[5] > open[9];High[5] > Open[9];H[-6] > O[-10];high[5] > open[9]
High;H5>H6;High[5] > High[6];high[5] > high[6];High[5] > High[6];H[-6] > H[-7];high[5] > high[6]
High;H5>H7;High[5] > High[7];high[5] > high[7];High[5] > High[7];H[-6] > H[-8];high[5] > high[7]
High;H5>H8;High[5] > High[8];high[5] > high[8];High[5] > High[8];H[-6] > H[-9];high[5] > high[8]
High;H5>H9;High[5] > High[9];high[5] > high[9];High[5] > High[9];H[-6] > H[-10];high[5] > high[9]
High;H5>L6;High[5] > Low[6];high[5] > low[6];High[5] > Low[6];H[-6] > L[-7];high[5] > low[6]
High;H5>L7;High[5] > Low[7];high[5] > low[7];High[5] > Low[7];H[-6] > L[-8];high[5] > low[7]
High;H5>L8;High[5] > Low[8];high[5] > low[8];High[5] > Low[8];H[-6] > L[-9];high[5] > low[8]
High;H5>L9;High[5] > Low[9];high[5] > low[9];High[5] > Low[9];H[-6] > L[-10];high[5] > low[9]
High;H5>C6;High[5] > Close[6];high[5] > close[6];High[5] > Close[6];H[-6] > C[-7];high[5] > close[6]
High;H5>C7;High[5] > Close[7];high[5] > close[7];High[5] > Close[7];H[-6] > C[-8];high[5] > close[7]
High;H5>C8;High[5] > Close[8];high[5] > close[8];High[5] > Close[8];H[-6] > C[-9];high[5] > close[8]
High;H5>C9;High[5] > Close[9];high[5] > close[9];High[5] > Close[9];H[-6] > C[-10];high[5] > close[9]
High;H6>O7;High[6] > Open[7];high[6] > open[7];High[6] > Open[7];H[-7] > O[-8];high[6] > open[7]
High;H6>O8;High[6] > Open[8];high[6] > open[8];High[6] > Open[8];H[-7] > O[-9];high[6] > open[8]
High;H6>O9;High[6] > Open[9];high[6] > open[9];High[6] > Open[9];H[-7] > O[-10];high[6] > open[9]
High;H6>H7;High[6] > High[7];high[6] > high[7];High[6] > High[7];H[-7] > H[-8];high[6] > high[7]
High;H6>H8;High[6] > High[8];high[6] > high[8];High[6] > High[8];H[-7] > H[-9];high[6] > high[8]
High;H6>H9;High[6] > High[9];high[6] > high[9];High[6] > High[9];H[-7] > H[-10];high[6] > high[9]
High;H6>L7;High[6] > Low[7];high[6] > low[7];High[6] > Low[7];H[-7] > L[-8];high[6] > low[7]
High;H6>L8;High[6] > Low[8];high[6] > low[8];High[6] > Low[8];H[-7] > L[-9];high[6] > low[8]
High;H6>L9;High[6] > Low[9];high[6] > low[9];High[6] > Low[9];H[-7] > L[-10];high[6] > low[9]
High;H6>C7;High[6] > Close[7];high[6] > close[7];High[6] > Close[7];H[-7] > C[-8];high[6] > close[7]
High;H6>C8;High[6] > Close[8];high[6] > close[8];High[6] > Close[8];H[-7] > C[-9];high[6] > close[8]
High;H6>C9;High[6] > Close[9];high[6] > close[9];High[6] > Close[9];H[-7] > C[-10];high[6] > close[9]
High;H7>O8;High[7] > Open[8];high[7] > open[8];High[7] > Open[8];H[-8] > O[-9];high[7] > open[8]
High;H7>O9;High[7] > Open[9];high[7] > open[9];High[7] > Open[9];H[-8] > O[-10];high[7] > open[9]
High;H7>H8;High[7] > High[8];high[7] > high[8];High[7] > High[8];H[-8] > H[-9];high[7] > high[8]
High;H7>H9;High[7] > High[9];high[7] > high[9];High[7] > High[9];H[-8] > H[-10];high[7] > high[9]
High;H7>L8;High[7] > Low[8];high[7] > low[8];High[7] > Low[8];H[-8] > L[-9];high[7] > low[8]
High;H7>L9;High[7] > Low[9];high[7] > low[9];High[7] > Low[9];H[-8] > L[-10];high[7] > low[9]
High;H7>C8;High[7] > Close[8];high[7] > close[8];High[7] > Close[8];H[-8] > C[-9];high[7] > close[8]
High;H7>C9;High[7] > Close[9];high[7] > close[9];High[7] > Close[9];H[-8] > C[-10];high[7] > close[9]
High;H8>O9;High[8] > Open[9];high[8] > open[9];High[8] > Open[9];H[-9] > O[-10];high[8] > open[9]
High;H8>H9;High[8] > High[9];high[8] > high[9];High[8] > High[9];H[-9] > H[-10];high[8] > high[9]
High;H8>L9;High[8] > Low[9];high[8] > low[9];High[8] > Low[9];H[-9] > L[-10];high[8] > low[9]
High;H8>C9;High[8] > Close[9];high[8] > close[9];High[8] > Close[9];H[-9] > C[-10];high[8] > close[9]
High;H<O1;High[0] <= Open[1];high[0] <= open[1];High[0] <= Open[1];H[-1] <= O[-2];high[0] <= open[1]
High;H<O2;High[0] <= Open[2];high[0] <= open[2];High[0] <= Open[2];H[-1] <= O[-3];high[0] <= open[2]
High;H<O3;High[0] <= Open[3];high[0] <= open[3];High[0] <= Open[3];H[-1] <= O[-4];high[0] <= open[3]
High;H<O4;High[0] <= Open[4];high[0] <= open[4];High[0] <= Open[4];H[-1] <= O[-5];high[0] <= open[4]
High;H<O5;High[0] <= Open[5];high[0] <= open[5];High[0] <= Open[5];H[-1] <= O[-6];high[0] <= open[5]
High;H<O6;High[0] <= Open[6];high[0] <= open[6];High[0] <= Open[6];H[-1] <= O[-7];high[0] <= open[6]
High;H<O7;High[0] <= Open[7];high[0] <= open[7];High[0] <= Open[7];H[-1] <= O[-8];high[0] <= open[7]
High;H<O8;High[0] <= Open[8];high[0] <= open[8];High[0] <= Open[8];H[-1] <= O[-9];high[0] <= open[8]
High;H<O9;High[0] <= Open[9];high[0] <= open[9];High[0] <= Open[9];H[-1] <= O[-10];high[0] <= open[9]
High;H<H1;High[0] <= High[1];high[0] <= high[1];High[0] <= High[1];H[-1] <= H[-2];high[0] <= high[1]
High;H<H2;High[0] <= High[2];high[0] <= high[2];High[0] <= High[2];H[-1] <= H[-3];high[0] <= high[2]
High;H<H3;High[0] <= High[3];high[0] <= high[3];High[0] <= High[3];H[-1] <= H[-4];high[0] <= high[3]
High;H<H4;High[0] <= High[4];high[0] <= high[4];High[0] <= High[4];H[-1] <= H[-5];high[0] <= high[4]
High;H<H5;High[0] <= High[5];high[0] <= high[5];High[0] <= High[5];H[-1] <= H[-6];high[0] <= high[5]
High;H<H6;High[0] <= High[6];high[0] <= high[6];High[0] <= High[6];H[-1] <= H[-7];high[0] <= high[6]
High;H<H7;High[0] <= High[7];high[0] <= high[7];High[0] <= High[7];H[-1] <= H[-8];high[0] <= high[7]
High;H<H8;High[0] <= High[8];high[0] <= high[8];High[0] <= High[8];H[-1] <= H[-9];high[0] <= high[8]
High;H<H9;High[0] <= High[9];high[0] <= high[9];High[0] <= High[9];H[-1] <= H[-10];high[0] <= high[9]
High;H<L1;High[0] <= Low[1];high[0] <= low[1];High[0] <= Low[1];H[-1] <= L[-2];high[0] <= low[1]
High;H<L2;High[0] <= Low[2];high[0] <= low[2];High[0] <= Low[2];H[-1] <= L[-3];high[0] <= low[2]
High;H<L3;High[0] <= Low[3];high[0] <= low[3];High[0] <= Low[3];H[-1] <= L[-4];high[0] <= low[3]
High;H<L4;High[0] <= Low[4];high[0] <= low[4];High[0] <= Low[4];H[-1] <= L[-5];high[0] <= low[4]
High;H<L5;High[0] <= Low[5];high[0] <= low[5];High[0] <= Low[5];H[-1] <= L[-6];high[0] <= low[5]
High;H<L6;High[0] <= Low[6];high[0] <= low[6];High[0] <= Low[6];H[-1] <= L[-7];high[0] <= low[6]
High;H<L7;High[0] <= Low[7];high[0] <= low[7];High[0] <= Low[7];H[-1] <= L[-8];high[0] <= low[7]
High;H<L8;High[0] <= Low[8];high[0] <= low[8];High[0] <= Low[8];H[-1] <= L[-9];high[0] <= low[8]
High;H<L9;High[0] <= Low[9];high[0] <= low[9];High[0] <= Low[9];H[-1] <= L[-10];high[0] <= low[9]
High;H<C1;High[0] <= Close[1];high[0] <= close[1];High[0] <= Close[1];H[-1] <= C[-2];high[0] <= close[1]
High;H<C2;High[0] <= Close[2];high[0] <= close[2];High[0] <= Close[2];H[-1] <= C[-3];high[0] <= close[2]
High;H<C3;High[0] <= Close[3];high[0] <= close[3];High[0] <= Close[3];H[-1] <= C[-4];high[0] <= close[3]
High;H<C4;High[0] <= Close[4];high[0] <= close[4];High[0] <= Close[4];H[-1] <= C[-5];high[0] <= close[4]
High;H<C5;High[0] <= Close[5];high[0] <= close[5];High[0] <= Close[5];H[-1] <= C[-6];high[0] <= close[5]
High;H<C6;High[0] <= Close[6];high[0] <= close[6];High[0] <= Close[6];H[-1] <= C[-7];high[0] <= close[6]
High;H<C7;High[0] <= Close[7];high[0] <= close[7];High[0] <= Close[7];H[-1] <= C[-8];high[0] <= close[7]
High;H<C8;High[0] <= Close[8];high[0] <= close[8];High[0] <= Close[8];H[-1] <= C[-9];high[0] <= close[8]
High;H<C9;High[0] <= Close[9];high[0] <= close[9];High[0] <= Close[9];H[-1] <= C[-10];high[0] <= close[9]
High;H1<O2;High[1] <= Open[2];high[1] <= open[2];High[1] <= Open[2];H[-2] <= O[-3];high[1] <= open[2]
High;H1<O3;High[1] <= Open[3];high[1] <= open[3];High[1] <= Open[3];H[-2] <= O[-4];high[1] <= open[3]
High;H1<O4;High[1] <= Open[4];high[1] <= open[4];High[1] <= Open[4];H[-2] <= O[-5];high[1] <= open[4]
High;H1<O5;High[1] <= Open[5];high[1] <= open[5];High[1] <= Open[5];H[-2] <= O[-6];high[1] <= open[5]
High;H1<O6;High[1] <= Open[6];high[1] <= open[6];High[1] <= Open[6];H[-2] <= O[-7];high[1] <= open[6]
High;H1<O7;High[1] <= Open[7];high[1] <= open[7];High[1] <= Open[7];H[-2] <= O[-8];high[1] <= open[7]
High;H1<O8;High[1] <= Open[8];high[1] <= open[8];High[1] <= Open[8];H[-2] <= O[-9];high[1] <= open[8]
High;H1<O9;High[1] <= Open[9];high[1] <= open[9];High[1] <= Open[9];H[-2] <= O[-10];high[1] <= open[9]
High;H1<H2;High[1] <= High[2];high[1] <= high[2];High[1] <= High[2];H[-2] <= H[-3];high[1] <= high[2]
High;H1<H3;High[1] <= High[3];high[1] <= high[3];High[1] <= High[3];H[-2] <= H[-4];high[1] <= high[3]
High;H1<H4;High[1] <= High[4];high[1] <= high[4];High[1] <= High[4];H[-2] <= H[-5];high[1] <= high[4]
High;H1<H5;High[1] <= High[5];high[1] <= high[5];High[1] <= High[5];H[-2] <= H[-6];high[1] <= high[5]
High;H1<H6;High[1] <= High[6];high[1] <= high[6];High[1] <= High[6];H[-2] <= H[-7];high[1] <= high[6]
High;H1<H7;High[1] <= High[7];high[1] <= high[7];High[1] <= High[7];H[-2] <= H[-8];high[1] <= high[7]
High;H1<H8;High[1] <= High[8];high[1] <= high[8];High[1] <= High[8];H[-2] <= H[-9];high[1] <= high[8]
High;H1<H9;High[1] <= High[9];high[1] <= high[9];High[1] <= High[9];H[-2] <= H[-10];high[1] <= high[9]
High;H1<L2;High[1] <= Low[2];high[1] <= low[2];High[1] <= Low[2];H[-2] <= L[-3];high[1] <= low[2]
High;H1<L3;High[1] <= Low[3];high[1] <= low[3];High[1] <= Low[3];H[-2] <= L[-4];high[1] <= low[3]
High;H1<L4;High[1] <= Low[4];high[1] <= low[4];High[1] <= Low[4];H[-2] <= L[-5];high[1] <= low[4]
High;H1<L5;High[1] <= Low[5];high[1] <= low[5];High[1] <= Low[5];H[-2] <= L[-6];high[1] <= low[5]
High;H1<L6;High[1] <= Low[6];high[1] <= low[6];High[1] <= Low[6];H[-2] <= L[-7];high[1] <= low[6]
High;H1<L7;High[1] <= Low[7];high[1] <= low[7];High[1] <= Low[7];H[-2] <= L[-8];high[1] <= low[7]
High;H1<L8;High[1] <= Low[8];high[1] <= low[8];High[1] <= Low[8];H[-2] <= L[-9];high[1] <= low[8]
High;H1<L9;High[1] <= Low[9];high[1] <= low[9];High[1] <= Low[9];H[-2] <= L[-10];high[1] <= low[9]
High;H1<C2;High[1] <= Close[2];high[1] <= close[2];High[1] <= Close[2];H[-2] <= C[-3];high[1] <= close[2]
High;H1<C3;High[1] <= Close[3];high[1] <= close[3];High[1] <= Close[3];H[-2] <= C[-4];high[1] <= close[3]
High;H1<C4;High[1] <= Close[4];high[1] <= close[4];High[1] <= Close[4];H[-2] <= C[-5];high[1] <= close[4]
High;H1<C5;High[1] <= Close[5];high[1] <= close[5];High[1] <= Close[5];H[-2] <= C[-6];high[1] <= close[5]
High;H1<C6;High[1] <= Close[6];high[1] <= close[6];High[1] <= Close[6];H[-2] <= C[-7];high[1] <= close[6]
High;H1<C7;High[1] <= Close[7];high[1] <= close[7];High[1] <= Close[7];H[-2] <= C[-8];high[1] <= close[7]
High;H1<C8;High[1] <= Close[8];high[1] <= close[8];High[1] <= Close[8];H[-2] <= C[-9];high[1] <= close[8]
High;H1<C9;High[1] <= Close[9];high[1] <= close[9];High[1] <= Close[9];H[-2] <= C[-10];high[1] <= close[9]
High;H2<O3;High[2] <= Open[3];high[2] <= open[3];High[2] <= Open[3];H[-3] <= O[-4];high[2] <= open[3]
High;H2<O4;High[2] <= Open[4];high[2] <= open[4];High[2] <= Open[4];H[-3] <= O[-5];high[2] <= open[4]
High;H2<O5;High[2] <= Open[5];high[2] <= open[5];High[2] <= Open[5];H[-3] <= O[-6];high[2] <= open[5]
High;H2<O6;High[2] <= Open[6];high[2] <= open[6];High[2] <= Open[6];H[-3] <= O[-7];high[2] <= open[6]
High;H2<O7;High[2] <= Open[7];high[2] <= open[7];High[2] <= Open[7];H[-3] <= O[-8];high[2] <= open[7]
High;H2<O8;High[2] <= Open[8];high[2] <= open[8];High[2] <= Open[8];H[-3] <= O[-9];high[2] <= open[8]
High;H2<O9;High[2] <= Open[9];high[2] <= open[9];High[2] <= Open[9];H[-3] <= O[-10];high[2] <= open[9]
High;H2<H3;High[2] <= High[3];high[2] <= high[3];High[2] <= High[3];H[-3] <= H[-4];high[2] <= high[3]
High;H2<H4;High[2] <= High[4];high[2] <= high[4];High[2] <= High[4];H[-3] <= H[-5];high[2] <= high[4]
High;H2<H5;High[2] <= High[5];high[2] <= high[5];High[2] <= High[5];H[-3] <= H[-6];high[2] <= high[5]
High;H2<H6;High[2] <= High[6];high[2] <= high[6];High[2] <= High[6];H[-3] <= H[-7];high[2] <= high[6]
High;H2<H7;High[2] <= High[7];high[2] <= high[7];High[2] <= High[7];H[-3] <= H[-8];high[2] <= high[7]
High;H2<H8;High[2] <= High[8];high[2] <= high[8];High[2] <= High[8];H[-3] <= H[-9];high[2] <= high[8]
High;H2<H9;High[2] <= High[9];high[2] <= high[9];High[2] <= High[9];H[-3] <= H[-10];high[2] <= high[9]
High;H2<L3;High[2] <= Low[3];high[2] <= low[3];High[2] <= Low[3];H[-3] <= L[-4];high[2] <= low[3]
High;H2<L4;High[2] <= Low[4];high[2] <= low[4];High[2] <= Low[4];H[-3] <= L[-5];high[2] <= low[4]
High;H2<L5;High[2] <= Low[5];high[2] <= low[5];High[2] <= Low[5];H[-3] <= L[-6];high[2] <= low[5]
High;H2<L6;High[2] <= Low[6];high[2] <= low[6];High[2] <= Low[6];H[-3] <= L[-7];high[2] <= low[6]
High;H2<L7;High[2] <= Low[7];high[2] <= low[7];High[2] <= Low[7];H[-3] <= L[-8];high[2] <= low[7]
High;H2<L8;High[2] <= Low[8];high[2] <= low[8];High[2] <= Low[8];H[-3] <= L[-9];high[2] <= low[8]
High;H2<L9;High[2] <= Low[9];high[2] <= low[9];High[2] <= Low[9];H[-3] <= L[-10];high[2] <= low[9]
High;H2<C3;High[2] <= Close[3];high[2] <= close[3];High[2] <= Close[3];H[-3] <= C[-4];high[2] <= close[3]
High;H2<C4;High[2] <= Close[4];high[2] <= close[4];High[2] <= Close[4];H[-3] <= C[-5];high[2] <= close[4]
High;H2<C5;High[2] <= Close[5];high[2] <= close[5];High[2] <= Close[5];H[-3] <= C[-6];high[2] <= close[5]
High;H2<C6;High[2] <= Close[6];high[2] <= close[6];High[2] <= Close[6];H[-3] <= C[-7];high[2] <= close[6]
High;H2<C7;High[2] <= Close[7];high[2] <= close[7];High[2] <= Close[7];H[-3] <= C[-8];high[2] <= close[7]
High;H2<C8;High[2] <= Close[8];high[2] <= close[8];High[2] <= Close[8];H[-3] <= C[-9];high[2] <= close[8]
High;H2<C9;High[2] <= Close[9];high[2] <= close[9];High[2] <= Close[9];H[-3] <= C[-10];high[2] <= close[9]
High;H3<O4;High[3] <= Open[4];high[3] <= open[4];High[3] <= Open[4];H[-4] <= O[-5];high[3] <= open[4]
High;H3<O5;High[3] <= Open[5];high[3] <= open[5];High[3] <= Open[5];H[-4] <= O[-6];high[3] <= open[5]
High;H3<O6;High[3] <= Open[6];high[3] <= open[6];High[3] <= Open[6];H[-4] <= O[-7];high[3] <= open[6]
High;H3<O7;High[3] <= Open[7];high[3] <= open[7];High[3] <= Open[7];H[-4] <= O[-8];high[3] <= open[7]
High;H3<O8;High[3] <= Open[8];high[3] <= open[8];High[3] <= Open[8];H[-4] <= O[-9];high[3] <= open[8]
High;H3<O9;High[3] <= Open[9];high[3] <= open[9];High[3] <= Open[9];H[-4] <= O[-10];high[3] <= open[9]
High;H3<H4;High[3] <= High[4];high[3] <= high[4];High[3] <= High[4];H[-4] <= H[-5];high[3] <= high[4]
High;H3<H5;High[3] <= High[5];high[3] <= high[5];High[3] <= High[5];H[-4] <= H[-6];high[3] <= high[5]
High;H3<H6;High[3] <= High[6];high[3] <= high[6];High[3] <= High[6];H[-4] <= H[-7];high[3] <= high[6]
High;H3<H7;High[3] <= High[7];high[3] <= high[7];High[3] <= High[7];H[-4] <= H[-8];high[3] <= high[7]
High;H3<H8;High[3] <= High[8];high[3] <= high[8];High[3] <= High[8];H[-4] <= H[-9];high[3] <= high[8]
High;H3<H9;High[3] <= High[9];high[3] <= high[9];High[3] <= High[9];H[-4] <= H[-10];high[3] <= high[9]
High;H3<L4;High[3] <= Low[4];high[3] <= low[4];High[3] <= Low[4];H[-4] <= L[-5];high[3] <= low[4]
High;H3<L5;High[3] <= Low[5];high[3] <= low[5];High[3] <= Low[5];H[-4] <= L[-6];high[3] <= low[5]
High;H3<L6;High[3] <= Low[6];high[3] <= low[6];High[3] <= Low[6];H[-4] <= L[-7];high[3] <= low[6]
High;H3<L7;High[3] <= Low[7];high[3] <= low[7];High[3] <= Low[7];H[-4] <= L[-8];high[3] <= low[7]
High;H3<L8;High[3] <= Low[8];high[3] <= low[8];High[3] <= Low[8];H[-4] <= L[-9];high[3] <= low[8]
High;H3<L9;High[3] <= Low[9];high[3] <= low[9];High[3] <= Low[9];H[-4] <= L[-10];high[3] <= low[9]
High;H3<C4;High[3] <= Close[4];high[3] <= close[4];High[3] <= Close[4];H[-4] <= C[-5];high[3] <= close[4]
High;H3<C5;High[3] <= Close[5];high[3] <= close[5];High[3] <= Close[5];H[-4] <= C[-6];high[3] <= close[5]
High;H3<C6;High[3] <= Close[6];high[3] <= close[6];High[3] <= Close[6];H[-4] <= C[-7];high[3] <= close[6]
High;H3<C7;High[3] <= Close[7];high[3] <= close[7];High[3] <= Close[7];H[-4] <= C[-8];high[3] <= close[7]
